Player,K (hs),A (f),D,KAST,K-D Diff,ADR,FK Diff,Rating,Team,MapID,Map,Tournament,Date,Team1,Team2,Result1,Result2,MatchID
mezii,16 (5),12 (3),20,78.6%,-4,79.0,0,0.98,Cloud9,114432,Vertigo,cs_summit 7,29th of January 2021,MIBR,Cloud9,1,2,2346224
es3tag,15 (3),11 (3),21,64.3%,-6,69.6,0,0.9,Cloud9,114432,Vertigo,cs_summit 7,29th of January 2021,MIBR,Cloud9,1,2,2346224
floppy,15 (6),7 (2),22,60.7%,-7,61.2,-3,0.82,Cloud9,114432,Vertigo,cs_summit 7,29th of January 2021,MIBR,Cloud9,1,2,2346224
Xeppaa,15 (11),2 (0),23,53.6%,-8,48.3,-6,0.59,Cloud9,114432,Vertigo,cs_summit 7,29th of January 2021,MIBR,Cloud9,1,2,2346224
boltz,13 (6),5 (0),16,75.0%,-3,77.9,-2,0.96,MIBR,114438,Inferno,cs_summit 7,29th of January 2021,MIBR,Cloud9,1,2,2346224
chelo,15 (8),1 (0),16,50.0%,-1,71.8,0,0.91,MIBR,114438,Inferno,cs_summit 7,29th of January 2021,MIBR,Cloud9,1,2,2346224
yel,13 (1),0 (0),15,66.7%,-2,54.3,1,0.87,MIBR,114438,Inferno,cs_summit 7,29th of January 2021,MIBR,Cloud9,1,2,2346224
shz,14 (8),3 (3),16,54.2%,-2,59.5,0,0.87,MIBR,114438,Inferno,cs_summit 7,29th of January 2021,MIBR,Cloud9,1,2,2346224
danoco,9 (4),1 (0),18,54.2%,-9,53.8,1,0.63,MIBR,114438,Inferno,cs_summit 7,29th of January 2021,MIBR,Cloud9,1,2,2346224
mezii,20 (9),2 (0),9,91.7%,11,78.6,3,1.56,Cloud9,114438,Inferno,cs_summit 7,29th of January 2021,MIBR,Cloud9,1,2,2346224
floppy,19 (8),3 (1),15,66.7%,4,93.8,1,1.42,Cloud9,114438,Inferno,cs_summit 7,29th of January 2021,MIBR,Cloud9,1,2,2346224
Xeppaa,19 (7),1 (0),13,79.2%,6,82.2,-1,1.27,Cloud9,114438,Inferno,cs_summit 7,29th of January 2021,MIBR,Cloud9,1,2,2346224
ALEX,10 (4),6 (3),11,75.0%,-1,52.1,0,1.11,Cloud9,114438,Inferno,cs_summit 7,29th of January 2021,MIBR,Cloud9,1,2,2346224
es3tag,12 (7),8 (3),16,66.7%,-4,69.1,-3,0.89,Cloud9,114438,Inferno,cs_summit 7,29th of January 2021,MIBR,Cloud9,1,2,2346224
nawwk,24 (6),3 (2),8,85.0%,16,99.0,3,1.78,NIP,114411,Train,cs_summit 7,29th of January 2021,NIP,Dignitas,2,1,2346223
REZ,21 (11),2 (0),9,90.0%,12,93.3,6,1.75,NIP,114411,Train,cs_summit 7,29th of January 2021,NIP,Dignitas,2,1,2346223
hampus,17 (4),8 (0),8,80.0%,9,102.7,-1,1.45,NIP,114411,Train,cs_summit 7,29th of January 2021,NIP,Dignitas,2,1,2346223
twist,14 (4),3 (0),7,90.0%,7,69.0,1,1.38,NIP,114411,Train,cs_summit 7,29th of January 2021,NIP,Dignitas,2,1,2346223
Plopski,11 (4),5 (0),10,90.0%,1,74.7,3,1.2,NIP,114411,Train,cs_summit 7,29th of January 2021,NIP,Dignitas,2,1,2346223
hallzerk,15 (7),3 (1),15,60.0%,0,75.0,-1,1.01,Dignitas,114411,Train,cs_summit 7,29th of January 2021,NIP,Dignitas,2,1,2346223
H4RR3,10 (7),5 (1),19,50.0%,-9,65.0,-5,0.65,Dignitas,114411,Train,cs_summit 7,29th of January 2021,NIP,Dignitas,2,1,2346223
HEAP,8 (5),0 (0),16,45.0%,-8,32.8,1,0.6,Dignitas,114411,Train,cs_summit 7,29th of January 2021,NIP,Dignitas,2,1,2346223
f0rest,7 (3),1 (0),19,40.0%,-12,52.5,-3,0.36,Dignitas,114411,Train,cs_summit 7,29th of January 2021,NIP,Dignitas,2,1,2346223
friberg,2 (2),4 (2),18,25.0%,-16,30.4,-4,0.2,Dignitas,114411,Train,cs_summit 7,29th of January 2021,NIP,Dignitas,2,1,2346223
hampus,24 (12),4 (0),24,70.0%,0,87.8,3,1.2,NIP,114416,Vertigo,cs_summit 7,29th of January 2021,NIP,Dignitas,2,1,2346223
REZ,18 (10),9 (3),23,70.0%,-5,90.3,0,1.02,NIP,114416,Vertigo,cs_summit 7,29th of January 2021,NIP,Dignitas,2,1,2346223
Plopski,12 (5),7 (0),19,76.7%,-7,57.3,1,0.91,NIP,114416,Vertigo,cs_summit 7,29th of January 2021,NIP,Dignitas,2,1,2346223
twist,19 (7),3 (1),20,56.7%,-1,61.6,-3,0.86,NIP,114416,Vertigo,cs_summit 7,29th of January 2021,NIP,Dignitas,2,1,2346223
nawwk,15 (9),5 (2),19,46.7%,-4,44.7,1,0.83,NIP,114416,Vertigo,cs_summit 7,29th of January 2021,NIP,Dignitas,2,1,2346223
friberg,29 (13),4 (1),18,80.0%,11,98.1,-2,1.39,Dignitas,114416,Vertigo,cs_summit 7,29th of January 2021,NIP,Dignitas,2,1,2346223
hallzerk,28 (11),4 (2),18,73.3%,10,90.1,1,1.34,Dignitas,114416,Vertigo,cs_summit 7,29th of January 2021,NIP,Dignitas,2,1,2346223
HEAP,24 (13),10 (2),22,70.0%,2,88.8,3,1.28,Dignitas,114416,Vertigo,cs_summit 7,29th of January 2021,NIP,Dignitas,2,1,2346223
H4RR3,11 (7),3 (1),14,66.7%,-3,48.8,-1,0.87,Dignitas,114416,Vertigo,cs_summit 7,29th of January 2021,NIP,Dignitas,2,1,2346223
f0rest,13 (7),2 (0),16,66.7%,-3,47.6,-3,0.8,Dignitas,114416,Vertigo,cs_summit 7,29th of January 2021,NIP,Dignitas,2,1,2346223
twist,26 (7),5 (0),16,83.3%,10,109.8,1,1.56,NIP,114420,Inferno,cs_summit 7,29th of January 2021,NIP,Dignitas,2,1,2346223
nawwk,21 (3),7 (2),13,95.8%,8,91.2,3,1.5,NIP,114420,Inferno,cs_summit 7,29th of January 2021,NIP,Dignitas,2,1,2346223
Plopski,21 (12),4 (1),13,83.3%,8,85.0,0,1.38,NIP,114420,Inferno,cs_summit 7,29th of January 2021,NIP,Dignitas,2,1,2346223
hampus,15 (6),5 (1),11,70.8%,4,74.9,-2,1.15,NIP,114420,Inferno,cs_summit 7,29th of January 2021,NIP,Dignitas,2,1,2346223
REZ,15 (10),4 (1),15,79.2%,0,71.0,0,1.02,NIP,114420,Inferno,cs_summit 7,29th of January 2021,NIP,Dignitas,2,1,2346223
H4RR3,16 (5),2 (0),18,75.0%,-2,82.1,-2,1.06,Dignitas,114420,Inferno,cs_summit 7,29th of January 2021,NIP,Dignitas,2,1,2346223
hallzerk,16 (5),5 (3),20,66.7%,-4,63.8,4,0.89,Dignitas,114420,Inferno,cs_summit 7,29th of January 2021,NIP,Dignitas,2,1,2346223
HEAP,11 (7),6 (0),21,58.3%,-10,64.0,1,0.81,Dignitas,114420,Inferno,cs_summit 7,29th of January 2021,NIP,Dignitas,2,1,2346223
f0rest,13 (4),6 (4),19,70.8%,-6,54.6,-2,0.75,Dignitas,114420,Inferno,cs_summit 7,29th of January 2021,NIP,Dignitas,2,1,2346223
friberg,12 (5),6 (1),20,66.7%,-8,55.2,-3,0.72,Dignitas,114420,Inferno,cs_summit 7,29th of January 2021,NIP,Dignitas,2,1,2346223
stanislaw,12 (7),1 (0),15,57.9%,-3,70.4,1,0.88,Evil Geniuses,114415,Nuke,DreamHack Open January 2021 Europe,29th of January 2021,Evil Geniuses,FunPlus Phoenix,0,2,2346285
Ethan,15 (9),2 (0),18,63.2%,-3,94.1,-1,0.86,Evil Geniuses,114415,Nuke,DreamHack Open January 2021 Europe,29th of January 2021,Evil Geniuses,FunPlus Phoenix,0,2,2346285
CeRq,6 (5),3 (1),15,47.4%,-9,44.1,-1,0.45,Evil Geniuses,114415,Nuke,DreamHack Open January 2021 Europe,29th of January 2021,Evil Geniuses,FunPlus Phoenix,0,2,2346285
tarik,6 (2),1 (0),15,42.1%,-9,42.9,-3,0.41,Evil Geniuses,114415,Nuke,DreamHack Open January 2021 Europe,29th of January 2021,Evil Geniuses,FunPlus Phoenix,0,2,2346285
Brehze,6 (4),0 (0),17,26.3%,-11,41.8,-1,0.31,Evil Geniuses,114415,Nuke,DreamHack Open January 2021 Europe,29th of January 2021,Evil Geniuses,FunPlus Phoenix,0,2,2346285
chrisJ,21 (13),2 (0),9,84.2%,12,105.1,0,1.79,FunPlus Phoenix,114415,Nuke,DreamHack Open January 2021 Europe,29th of January 2021,Evil Geniuses,FunPlus Phoenix,0,2,2346285
STYKO,15 (8),6 (1),9,89.5%,6,88.5,2,1.57,FunPlus Phoenix,114415,Nuke,DreamHack Open January 2021 Europe,29th of January 2021,Evil Geniuses,FunPlus Phoenix,0,2,2346285
Farlig,15 (6),5 (3),8,89.5%,7,69.1,1,1.41,FunPlus Phoenix,114415,Nuke,DreamHack Open January 2021 Europe,29th of January 2021,Evil Geniuses,FunPlus Phoenix,0,2,2346285
zehN,13 (8),7 (2),9,89.5%,4,91.1,1,1.37,FunPlus Phoenix,114415,Nuke,DreamHack Open January 2021 Europe,29th of January 2021,Evil Geniuses,FunPlus Phoenix,0,2,2346285
Maden,15 (8),2 (0),11,73.7%,4,82.4,1,1.34,FunPlus Phoenix,114415,Nuke,DreamHack Open January 2021 Europe,29th of January 2021,Evil Geniuses,FunPlus Phoenix,0,2,2346285
Brehze,21 (14),5 (0),19,75.0%,2,113.2,0,1.33,Evil Geniuses,114419,Inferno,DreamHack Open January 2021 Europe,29th of January 2021,Evil Geniuses,FunPlus Phoenix,0,2,2346285
tarik,16 (10),2 (1),18,50.0%,-2,72.8,2,0.96,Evil Geniuses,114419,Inferno,DreamHack Open January 2021 Europe,29th of January 2021,Evil Geniuses,FunPlus Phoenix,0,2,2346285
stanislaw,11 (3),5 (2),19,70.8%,-8,56.9,0,0.71,Evil Geniuses,114419,Inferno,DreamHack Open January 2021 Europe,29th of January 2021,Evil Geniuses,FunPlus Phoenix,0,2,2346285
CeRq,9 (1),11 (7),19,83.3%,-10,43.2,-4,0.69,Evil Geniuses,114419,Inferno,DreamHack Open January 2021 Europe,29th of January 2021,Evil Geniuses,FunPlus Phoenix,0,2,2346285
Ethan,13 (4),1 (0),20,41.7%,-7,49.9,-4,0.62,Evil Geniuses,114419,Inferno,DreamHack Open January 2021 Europe,29th of January 2021,Evil Geniuses,FunPlus Phoenix,0,2,2346285
Maden,22 (11),5 (0),16,87.5%,6,96.0,4,1.47,FunPlus Phoenix,114419,Inferno,DreamHack Open January 2021 Europe,29th of January 2021,Evil Geniuses,FunPlus Phoenix,0,2,2346285
zehN,22 (11),6 (1),14,79.2%,8,96.2,-1,1.35,FunPlus Phoenix,114419,Inferno,DreamHack Open January 2021 Europe,29th of January 2021,Evil Geniuses,FunPlus Phoenix,0,2,2346285
STYKO,20 (10),5 (0),14,83.3%,6,85.0,-2,1.3,FunPlus Phoenix,114419,Inferno,DreamHack Open January 2021 Europe,29th of January 2021,Evil Geniuses,FunPlus Phoenix,0,2,2346285
Farlig,18 (4),8 (1),15,75.0%,3,85.0,5,1.28,FunPlus Phoenix,114419,Inferno,DreamHack Open January 2021 Europe,29th of January 2021,Evil Geniuses,FunPlus Phoenix,0,2,2346285
chrisJ,13 (5),3 (0),13,75.0%,0,53.2,0,0.96,FunPlus Phoenix,114419,Inferno,DreamHack Open January 2021 Europe,29th of January 2021,Evil Geniuses,FunPlus Phoenix,0,2,2346285
honda,24 (14),6 (0),20,66.7%,4,87.1,1,1.2,FURIA,114398,Nuke,cs_summit 7,28th of January 2021,FURIA,Cloud9,2,1,2346222
VINI,23 (11),2 (1),17,73.3%,6,72.3,-2,1.14,FURIA,114398,Nuke,cs_summit 7,28th of January 2021,FURIA,Cloud9,2,1,2346222
arT,22 (3),3 (0),20,76.7%,2,71.8,-3,1.14,FURIA,114398,Nuke,cs_summit 7,28th of January 2021,FURIA,Cloud9,2,1,2346222
yuurih,18 (9),4 (0),17,70.0%,1,74.1,-1,1.04,FURIA,114398,Nuke,cs_summit 7,28th of January 2021,FURIA,Cloud9,2,1,2346222
KSCERATO,14 (6),6 (0),17,66.7%,-3,60.6,-3,0.85,FURIA,114398,Nuke,cs_summit 7,28th of January 2021,FURIA,Cloud9,2,1,2346222
mezii,26 (14),2 (0),18,80.0%,8,90.5,2,1.29,Cloud9,114398,Nuke,cs_summit 7,28th of January 2021,FURIA,Cloud9,2,1,2346222
floppy,20 (10),7 (1),20,66.7%,0,76.9,2,1.09,Cloud9,114398,Nuke,cs_summit 7,28th of January 2021,FURIA,Cloud9,2,1,2346222
Xeppaa,16 (9),5 (0),21,73.3%,-5,65.0,2,0.96,Cloud9,114398,Nuke,cs_summit 7,28th of January 2021,FURIA,Cloud9,2,1,2346222
es3tag,15 (6),3 (1),20,60.0%,-5,54.6,0,0.85,Cloud9,114398,Nuke,cs_summit 7,28th of January 2021,FURIA,Cloud9,2,1,2346222
ALEX,13 (3),6 (3),23,56.7%,-10,53.0,2,0.75,Cloud9,114398,Nuke,cs_summit 7,28th of January 2021,FURIA,Cloud9,2,1,2346222
yuurih,26 (17),13 (3),22,79.3%,4,102.7,3,1.41,FURIA,114400,Inferno,cs_summit 7,28th of January 2021,FURIA,Cloud9,2,1,2346222
VINI,25 (12),4 (1),22,86.2%,3,81.2,3,1.2,FURIA,114400,Inferno,cs_summit 7,28th of January 2021,FURIA,Cloud9,2,1,2346222
honda,21 (6),4 (2),18,72.4%,3,60.3,1,1.04,FURIA,114400,Inferno,cs_summit 7,28th of January 2021,FURIA,Cloud9,2,1,2346222
KSCERATO,19 (12),6 (1),20,69.0%,-1,77.2,-2,1.0,FURIA,114400,Inferno,cs_summit 7,28th of January 2021,FURIA,Cloud9,2,1,2346222
arT,8 (4),4 (1),22,58.6%,-14,44.9,-6,0.5,FURIA,114400,Inferno,cs_summit 7,28th of January 2021,FURIA,Cloud9,2,1,2346222
Xeppaa,27 (13),7 (3),18,89.7%,9,90.6,3,1.43,Cloud9,114400,Inferno,cs_summit 7,28th of January 2021,FURIA,Cloud9,2,1,2346222
es3tag,20 (8),14 (5),20,72.4%,0,97.3,-1,1.22,Cloud9,114400,Inferno,cs_summit 7,28th of January 2021,FURIA,Cloud9,2,1,2346222
floppy,24 (11),4 (0),22,72.4%,2,86.5,0,1.18,Cloud9,114400,Inferno,cs_summit 7,28th of January 2021,FURIA,Cloud9,2,1,2346222
ALEX,20 (7),6 (5),20,75.9%,0,68.9,-2,1.04,Cloud9,114400,Inferno,cs_summit 7,28th of January 2021,FURIA,Cloud9,2,1,2346222
mezii,12 (3),1 (0),19,72.4%,-7,39.8,1,0.78,Cloud9,114400,Inferno,cs_summit 7,28th of January 2021,FURIA,Cloud9,2,1,2346222
arT,32 (6),5 (1),13,69.2%,19,125.3,1,1.9,FURIA,114402,Train,cs_summit 7,28th of January 2021,FURIA,Cloud9,2,1,2346222
yuurih,17 (8),7 (2),11,73.1%,6,69.2,0,1.16,FURIA,114402,Train,cs_summit 7,28th of January 2021,FURIA,Cloud9,2,1,2346222
VINI,18 (9),4 (0),18,80.8%,0,74.7,-1,1.14,FURIA,114402,Train,cs_summit 7,28th of January 2021,FURIA,Cloud9,2,1,2346222
honda,14 (5),1 (0),19,76.9%,-5,62.4,3,0.91,FURIA,114402,Train,cs_summit 7,28th of January 2021,FURIA,Cloud9,2,1,2346222
KSCERATO,12 (6),5 (0),15,69.2%,-3,47.3,-3,0.78,FURIA,114402,Train,cs_summit 7,28th of January 2021,FURIA,Cloud9,2,1,2346222
floppy,23 (9),6 (2),21,69.2%,2,87.9,0,1.19,Cloud9,114402,Train,cs_summit 7,28th of January 2021,FURIA,Cloud9,2,1,2346222
ALEX,17 (7),3 (1),17,69.2%,0,76.5,3,1.09,Cloud9,114402,Train,cs_summit 7,28th of January 2021,FURIA,Cloud9,2,1,2346222
es3tag,12 (7),6 (0),17,65.4%,-5,66.2,-3,0.86,Cloud9,114402,Train,cs_summit 7,28th of January 2021,FURIA,Cloud9,2,1,2346222
mezii,11 (6),5 (1),19,57.7%,-8,54.0,2,0.69,Cloud9,114402,Train,cs_summit 7,28th of January 2021,FURIA,Cloud9,2,1,2346222
Xeppaa,13 (8),0 (0),19,46.2%,-6,50.2,-2,0.59,Cloud9,114402,Train,cs_summit 7,28th of January 2021,FURIA,Cloud9,2,1,2346222
faveN,30 (15),3 (0),19,80.0%,11,106.0,1,1.47,Sprout,114389,Dust2,DreamHack Open January 2021 Europe,28th of January 2021,Sprout,forZe,2,1,2346284
slaxz-,23 (9),4 (1),16,83.3%,7,85.0,3,1.28,Sprout,114389,Dust2,DreamHack Open January 2021 Europe,28th of January 2021,Sprout,forZe,2,1,2346284
denis,23 (12),2 (0),19,56.7%,4,69.3,-3,1.06,Sprout,114389,Dust2,DreamHack Open January 2021 Europe,28th of January 2021,Sprout,forZe,2,1,2346284
Spiidi,14 (4),6 (1),23,73.3%,-9,58.8,-4,0.83,Sprout,114389,Dust2,DreamHack Open January 2021 Europe,28th of January 2021,Sprout,forZe,2,1,2346284
kressy,12 (6),4 (2),19,70.0%,-7,49.7,1,0.79,Sprout,114389,Dust2,DreamHack Open January 2021 Europe,28th of January 2021,Sprout,forZe,2,1,2346284
Jerry,25 (11),7 (1),21,76.7%,4,86.9,-1,1.23,forZe,114389,Dust2,DreamHack Open January 2021 Europe,28th of January 2021,Sprout,forZe,2,1,2346284
almazer,19 (12),6 (1),18,73.3%,1,65.6,1,1.04,forZe,114389,Dust2,DreamHack Open January 2021 Europe,28th of January 2021,Sprout,forZe,2,1,2346284
Woro2k,21 (8),4 (1),21,66.7%,0,73.2,2,1.02,forZe,114389,Dust2,DreamHack Open January 2021 Europe,28th of January 2021,Sprout,forZe,2,1,2346284
FL1T,18 (9),5 (0),22,66.7%,-4,72.7,0,0.97,forZe,114389,Dust2,DreamHack Open January 2021 Europe,28th of January 2021,Sprout,forZe,2,1,2346284
Aunkere,13 (10),5 (3),20,60.0%,-7,43.9,0,0.67,forZe,114389,Dust2,DreamHack Open January 2021 Europe,28th of January 2021,Sprout,forZe,2,1,2346284
faveN,25 (13),5 (1),18,82.8%,7,93.6,2,1.36,Sprout,114395,Mirage,DreamHack Open January 2021 Europe,28th of January 2021,Sprout,forZe,2,1,2346284
kressy,22 (11),5 (0),21,75.9%,1,76.6,-2,1.06,Sprout,114395,Mirage,DreamHack Open January 2021 Europe,28th of January 2021,Sprout,forZe,2,1,2346284
slaxz-,19 (11),8 (1),21,75.9%,-2,76.7,-2,1.03,Sprout,114395,Mirage,DreamHack Open January 2021 Europe,28th of January 2021,Sprout,forZe,2,1,2346284
Spiidi,14 (5),7 (2),18,58.6%,-4,68.2,-2,0.83,Sprout,114395,Mirage,DreamHack Open January 2021 Europe,28th of January 2021,Sprout,forZe,2,1,2346284
denis,14 (7),1 (0),19,58.6%,-5,45.8,-3,0.73,Sprout,114395,Mirage,DreamHack Open January 2021 Europe,28th of January 2021,Sprout,forZe,2,1,2346284
Woro2k,27 (9),4 (0),15,75.9%,12,86.8,4,1.51,forZe,114395,Mirage,DreamHack Open January 2021 Europe,28th of January 2021,Sprout,forZe,2,1,2346284
almazer,22 (15),1 (0),19,72.4%,3,75.8,4,1.21,forZe,114395,Mirage,DreamHack Open January 2021 Europe,28th of January 2021,Sprout,forZe,2,1,2346284
Aunkere,21 (11),5 (0),18,69.0%,3,79.8,3,1.14,forZe,114395,Mirage,DreamHack Open January 2021 Europe,28th of January 2021,Sprout,forZe,2,1,2346284
FL1T,18 (9),5 (1),23,69.0%,-5,77.6,0,0.85,forZe,114395,Mirage,DreamHack Open January 2021 Europe,28th of January 2021,Sprout,forZe,2,1,2346284
Jerry,9 (2),9 (3),19,65.5%,-10,45.9,-4,0.68,forZe,114395,Mirage,DreamHack Open January 2021 Europe,28th of January 2021,Sprout,forZe,2,1,2346284
slaxz-,22 (10),6 (1),16,70.4%,6,82.8,4,1.34,Sprout,114397,Nuke,DreamHack Open January 2021 Europe,28th of January 2021,Sprout,forZe,2,1,2346284
denis,20 (8),8 (2),20,63.0%,0,88.4,-1,1.12,Sprout,114397,Nuke,DreamHack Open January 2021 Europe,28th of January 2021,Sprout,forZe,2,1,2346284
faveN,21 (14),4 (0),18,70.4%,3,85.8,-1,1.1,Sprout,114397,Nuke,DreamHack Open January 2021 Europe,28th of January 2021,Sprout,forZe,2,1,2346284
kressy,20 (8),3 (0),22,66.7%,-2,68.5,2,0.92,Sprout,114397,Nuke,DreamHack Open January 2021 Europe,28th of January 2021,Sprout,forZe,2,1,2346284
Spiidi,13 (3),5 (0),19,66.7%,-6,50.8,-3,0.76,Sprout,114397,Nuke,DreamHack Open January 2021 Europe,28th of January 2021,Sprout,forZe,2,1,2346284
FL1T,26 (9),7 (0),18,77.8%,8,104.1,1,1.42,forZe,114397,Nuke,DreamHack Open January 2021 Europe,28th of January 2021,Sprout,forZe,2,1,2346284
almazer,15 (10),7 (0),21,96.3%,-6,71.6,1,1.07,forZe,114397,Nuke,DreamHack Open January 2021 Europe,28th of January 2021,Sprout,forZe,2,1,2346284
Jerry,20 (5),2 (1),21,66.7%,-1,62.8,1,1.02,forZe,114397,Nuke,DreamHack Open January 2021 Europe,28th of January 2021,Sprout,forZe,2,1,2346284
Woro2k,17 (7),7 (3),18,77.8%,-1,65.3,-3,0.99,forZe,114397,Nuke,DreamHack Open January 2021 Europe,28th of January 2021,Sprout,forZe,2,1,2346284
Aunkere,16 (8),4 (1),18,63.0%,-2,68.4,-1,0.95,forZe,114397,Nuke,DreamHack Open January 2021 Europe,28th of January 2021,Sprout,forZe,2,1,2346284
cadiaN,32 (9),6 (4),14,79.3%,18,105.0,4,1.76,Heroic,114387,Vertigo,cs_summit 7,28th of January 2021,Heroic,MIBR,2,1,2346221
stavn,25 (5),8 (3),21,89.7%,4,95.8,-2,1.32,Heroic,114387,Vertigo,cs_summit 7,28th of January 2021,Heroic,MIBR,2,1,2346221
b0RUP,19 (13),7 (0),22,82.8%,-3,86.3,1,1.14,Heroic,114387,Vertigo,cs_summit 7,28th of January 2021,Heroic,MIBR,2,1,2346221
niko,14 (6),6 (2),21,65.5%,-7,57.3,-1,0.75,Heroic,114387,Vertigo,cs_summit 7,28th of January 2021,Heroic,MIBR,2,1,2346221
TeSeS,15 (9),3 (0),23,41.4%,-8,55.1,-5,0.66,Heroic,114387,Vertigo,cs_summit 7,28th of January 2021,Heroic,MIBR,2,1,2346221
chelo,22 (17),4 (0),19,69.0%,3,87.7,4,1.24,MIBR,114387,Vertigo,cs_summit 7,28th of January 2021,Heroic,MIBR,2,1,2346221
shz,22 (5),7 (2),22,65.5%,0,92.1,1,1.15,MIBR,114387,Vertigo,cs_summit 7,28th of January 2021,Heroic,MIBR,2,1,2346221
danoco,20 (5),2 (0),23,69.0%,-3,65.8,0,1.02,MIBR,114387,Vertigo,cs_summit 7,28th of January 2021,Heroic,MIBR,2,1,2346221
yel,20 (5),5 (3),21,72.4%,-1,64.7,-3,0.9,MIBR,114387,Vertigo,cs_summit 7,28th of January 2021,Heroic,MIBR,2,1,2346221
boltz,17 (5),5 (0),21,65.5%,-4,75.6,1,0.9,MIBR,114387,Vertigo,cs_summit 7,28th of January 2021,Heroic,MIBR,2,1,2346221
stavn,22 (11),1 (0),16,77.8%,6,86.1,1,1.26,Heroic,114391,Inferno,cs_summit 7,28th of January 2021,Heroic,MIBR,2,1,2346221
TeSeS,19 (7),2 (0),20,74.1%,-1,76.1,4,1.15,Heroic,114391,Inferno,cs_summit 7,28th of January 2021,Heroic,MIBR,2,1,2346221
niko,16 (8),6 (5),15,74.1%,1,60.6,3,1.02,Heroic,114391,Inferno,cs_summit 7,28th of January 2021,Heroic,MIBR,2,1,2346221
cadiaN,11 (1),5 (1),14,74.1%,-3,54.1,1,0.97,Heroic,114391,Inferno,cs_summit 7,28th of January 2021,Heroic,MIBR,2,1,2346221
b0RUP,11 (6),8 (4),13,77.8%,-2,50.9,0,0.91,Heroic,114391,Inferno,cs_summit 7,28th of January 2021,Heroic,MIBR,2,1,2346221
boltz,25 (12),3 (1),11,74.1%,14,93.4,-1,1.47,MIBR,114391,Inferno,cs_summit 7,28th of January 2021,Heroic,MIBR,2,1,2346221
shz,18 (13),1 (0),16,74.1%,2,75.1,1,1.1,MIBR,114391,Inferno,cs_summit 7,28th of January 2021,Heroic,MIBR,2,1,2346221
yel,11 (1),7 (5),15,70.4%,-4,43.1,-2,0.89,MIBR,114391,Inferno,cs_summit 7,28th of January 2021,Heroic,MIBR,2,1,2346221
chelo,12 (7),5 (2),20,66.7%,-8,59.3,-3,0.72,MIBR,114391,Inferno,cs_summit 7,28th of January 2021,Heroic,MIBR,2,1,2346221
danoco,11 (6),3 (1),18,63.0%,-7,45.1,-4,0.68,MIBR,114391,Inferno,cs_summit 7,28th of January 2021,Heroic,MIBR,2,1,2346221
niko,24 (10),1 (0),15,69.2%,9,84.1,5,1.38,Heroic,114396,Mirage,cs_summit 7,28th of January 2021,Heroic,MIBR,2,1,2346221
stavn,17 (8),6 (0),15,80.8%,2,77.0,2,1.23,Heroic,114396,Mirage,cs_summit 7,28th of January 2021,Heroic,MIBR,2,1,2346221
cadiaN,20 (3),9 (3),18,80.8%,2,79.6,1,1.2,Heroic,114396,Mirage,cs_summit 7,28th of January 2021,Heroic,MIBR,2,1,2346221
b0RUP,14 (11),3 (1),13,73.1%,1,62.7,1,1.05,Heroic,114396,Mirage,cs_summit 7,28th of January 2021,Heroic,MIBR,2,1,2346221
TeSeS,16 (9),5 (2),14,61.5%,2,65.4,-5,0.96,Heroic,114396,Mirage,cs_summit 7,28th of January 2021,Heroic,MIBR,2,1,2346221
chelo,26 (18),3 (0),18,69.2%,8,107.7,0,1.41,MIBR,114396,Mirage,cs_summit 7,28th of January 2021,Heroic,MIBR,2,1,2346221
yel,18 (5),0 (0),17,61.5%,1,64.2,2,1.0,MIBR,114396,Mirage,cs_summit 7,28th of January 2021,Heroic,MIBR,2,1,2346221
shz,14 (4),3 (2),18,61.5%,-4,53.5,0,0.79,MIBR,114396,Mirage,cs_summit 7,28th of January 2021,Heroic,MIBR,2,1,2346221
boltz,10 (3),1 (0),18,57.7%,-8,48.6,-1,0.63,MIBR,114396,Mirage,cs_summit 7,28th of January 2021,Heroic,MIBR,2,1,2346221
danoco,7 (4),5 (2),21,61.5%,-14,38.3,-5,0.5,MIBR,114396,Mirage,cs_summit 7,28th of January 2021,Heroic,MIBR,2,1,2346221
ProbLeM,19 (8),3 (1),18,76.9%,1,72.6,0,1.15,HellRaisers,114388,Train,DreamHack Open January 2021 Europe,28th of January 2021,HellRaisers,FunPlus Phoenix,0,2,2346291
kalinka,19 (12),5 (0),20,84.6%,-1,86.5,0,1.14,HellRaisers,114388,Train,DreamHack Open January 2021 Europe,28th of January 2021,HellRaisers,FunPlus Phoenix,0,2,2346291
JIaYm,17 (11),3 (0),22,69.2%,-5,73.7,2,1.06,HellRaisers,114388,Train,DreamHack Open January 2021 Europe,28th of January 2021,HellRaisers,FunPlus Phoenix,0,2,2346291
Flarich,13 (6),5 (0),21,69.2%,-8,58.7,-2,0.82,HellRaisers,114388,Train,DreamHack Open January 2021 Europe,28th of January 2021,HellRaisers,FunPlus Phoenix,0,2,2346291
anarkez,14 (5),6 (3),19,73.1%,-5,50.8,-2,0.74,HellRaisers,114388,Train,DreamHack Open January 2021 Europe,28th of January 2021,HellRaisers,FunPlus Phoenix,0,2,2346291
Maden,27 (11),2 (0),16,73.1%,11,88.7,1,1.37,FunPlus Phoenix,114388,Train,DreamHack Open January 2021 Europe,28th of January 2021,HellRaisers,FunPlus Phoenix,0,2,2346291
